SOCName,Employer Name,Number of Records,Mean National Wage,Mean Prevailing Wage,Median National Wage,Median Prevailing Wage
Financial_Analysts,DEUTSCHE BANK SECURITIES INC.,131,92250,74361.8855,78620,67205
Financial_Analysts,"BLACKROCK FINANCIAL MANAGEMENT, INC.",68,92250,70166.79412,78620,67205
Financial_Analysts,CREDIT SUISSE SECURITIES (USA) LLC,84,92250,80213.69048,78620,87589
Financial_Analysts,GOLDMAN SACHS & CO.,40,92250,67228.2,78620,67205
Management_Analysts,DELOITTE CONSULTING LLP,506,90860,67533.37154,80880,63690
Management_Analysts,ERNST & YOUNG U.S. LLP,1290,90860,72493.76775,80880,74464
Management_Analysts,ACCENTURE LLP,392,90860,74518.7449,80880,73778
Management_Analysts,"TECH MAHINDRA (AMERICAS), INC.",144,90860,77191.44444,80880,77480
Management_Analysts,IBM CORPORATION,358,90860,73451.69274,80880,74526
Management_Analysts,"THE BOSTON CONSULTING GROUP, INC.",278,90860,86697.35396,80880,96408
Management_Analysts,"SCM DATA, INC",186,90860,53239.51613,80880,54850
Management_Analysts,MUSIGMA INC,238,90860,53746.35294,80880,52790
Management_Analysts,POPULUS GROUP,160,90860,69217.72,80880,66622.4
Management_Analysts,"A.T. KEARNEY, INC.",134,90860,121887.209,80880,127754
Market_Research_Analysts_and_Marketing_Specialists,HIMALAYA MANAGEMENT LLC,26,68700,42038.46154,61290,35776
Market_Research_Analysts_and_Marketing_Specialists,BETA SOFT SYSTEMS INC.,10,68700,49317,61290,49317
Market_Research_Analysts_and_Marketing_Specialists,AETNA LIFE INSURANCE COMPANY,18,68700,47832.66667,61290,52166
Market_Research_Analysts_and_Marketing_Specialists,RECKITT BENCKISER LLC,14,68700,39849.71429,61290,36067
Market_Research_Analysts_and_Marketing_Specialists,TRI STAR OFFSET CORP.,14,68700,59738,61290,59738
Market_Research_Analysts_and_Marketing_Specialists,"HFL, INC.",12,68700,45468.86667,61290,45468.8
Market_Research_Analysts_and_Marketing_Specialists,"ANGARAI INTERNATIONAL, INC.",10,68700,41645.8,61290,41496
Market_Research_Analysts_and_Marketing_Specialists,CHINA GENERAL CHAMBER OF COMMERCE-USA,10,68700,74813.6,61290,75400
Market_Research_Analysts_and_Marketing_Specialists,CREDIT CARD SERVICES INC,10,68700,36524.8,61290,35776
Market_Research_Analysts_and_Marketing_Specialists,INFINOVA CORPORATION,10,68700,38979.2,61290,36088
Mechanical_Engineers,MOTOROLA MOBILITY LLC,60,87140,88283.96667,83060,91361
Mechanical_Engineers,"ONWARD TECHNOLOGIES, INC",142,87140,58859.28169,83060,57366
Mechanical_Engineers,"GEOMETRIC AMERICAS, INC",144,87140,122549.8667,83060,68786
Mechanical_Engineers,"INFOTECH ENTERPRISES AMERICA, INC.",86,87140,60125.11628,83060,59654
Mechanical_Engineers,SCHLUMBERGER TECHNOLOGY CORPORATION,94,87140,67424.61702,83060,65874
Mechanical_Engineers,"CRESTTEK, LLC",92,87140,67587.06522,83060,68786
Mechanical_Engineers,RACAR INTERNATIONAL D/E LLC,86,87140,63009.65116,83060,58594
